"","Team","Games","Win","Loss","Off.Rank","Off.Plays","Off.Yards","Off.Yards.Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards.Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","X4th.Down.Rank","X4th.Attempts","X4th.Conversions","X4th.Percent","X4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","...40","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown.x","Pass.Yards","Pass.Yards.Attempt","Yards.Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards.Attempt.Allowed","Yards.Completion.Allowed","Pass.Yards.Per.Game.Allowed","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards.Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds.Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","X2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Scoring.Off.Rank","Touchdowns","PAT","X2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","X3rd.Down.Rank","X3rd.Attempts","X3rd.Conversions","X3rd.Percent","X3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown.y","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"1","Appalachian State University",14,13,1,39,969,6064,6.26,65,433.1,26,940,4705,5.01,34,35,336.1,51,97,133,28,258,51,97,133,28,258,1,13,16,0.813,94,15,26,0.577,29,48,29,910,0,18.96,29,48,29,910,0,18.96,93,370,231,6,2824,7.63,12.23,30,201.7,35,253,455,2894,20,6.36,11.44,206.7,112,95,899,64.21,13,17,62,0,3.65,13,17,62,0,3.65,14,60,25,22,8,55,0.917,74,32,9,11,7,27,0.844,16,599,3240,5.41,35,231.4,29,485,1811,3.73,14,129.4,13,18,107,1.29,21,35,29,1,0,13,0,280,20,9,73,72,0,0,11,0,543,38.8,56,67,38,380,86,6.1,26,200,89,0.445,10,62,202,0.307,36,"   438:26","   31:19",7,10,14,24,3,6,9,15,1.07,"SB",29,11,105.5,108,0.4322,51.4,53.8,17.8,17.4,25.9,29.8,37,34.1,51.3,52.8,34.4,37.3,72.8,-13.9,NA,NA,"No",7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70
"2","Arizona State University",13,8,5,94,842,4837,5.74,34,372.1,67,928,5113,5.51,39,39,393.3,87,94,155,24,273,87,94,155,24,273,55,9,16,0.563,80,13,24,0.542,74,37,21,779,0,21.05,74,37,21,779,0,21.05,53,383,233,4,3235,8.45,13.88,21,248.8,115,296,465,3487,24,7.5,11.78,268.2,108,85,818,62.92,69,20,154,0,7.7,69,20,154,0,7.7,16,45,12,8,21,41,0.911,36,39,14,14,3,31,0.795,115,459,1602,3.49,13,123.2,26,463,1626,3.51,15,125.1,103,33,182,2.54,35,39,39,0,0,6,0,291,22.4,96,36,29,4,0,23,0,322,24.8,79,59,30,317,74,5.7,83,187,72,0.385,86,79,192,0.411,86,"   379:57","   29:13",6,15,13,28,10,4,14,14,1.08,"P12",34,23,108.7,97.6,0.775,50.6,48.5,18.7,19,31.7,26.9,43.8,38.6,50.8,47.3,33.6,33.4,71.9,0.1,"R64",11,"No",12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48
"3","University of Arkansas",12,2,10,111,783,4081,5.21,28,340.1,110,827,5408,6.54,54,57,450.7,80,121,130,20,271,80,121,130,20,271,106,8,20,0.4,88,9,16,0.563,10,14,28,242,0,17.29,10,14,28,242,0,17.29,103,407,202,15,2315,5.69,11.46,14,192.9,69,227,341,2750,25,8.06,12.11,229.2,14,61,492,41,20,6,27,0,4.5,20,6,27,0,4.5,114,32,9,8,7,24,0.75,100,47,20,13,8,41,0.872,85,376,1766,4.7,14,147.2,122,486,2658,5.47,29,221.5,31,19,128,1.58,124,57,55,0,0,15,0,442,36.8,110,31,29,0,0,14,0,257,21.4,103,45,32,203,61,5.1,113,165,55,0.333,116,71,156,0.455,111,"   333:26","   27:47",97,10,6,16,6,15,21,-5,-0.42,"SEC",34,18,109.3,96.7,0.8046,51,49.4,18.3,22.5,28.3,34.8,38.4,41.7,50.6,48.9,34.5,33.3,71.9,-2.2,NA,NA,"No",3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73,89,14.8,10,6820,39
"4","Auburn University",13,9,4,64,947,5285,5.58,51,406.5,28,905,4381,4.84,31,32,337,42,96,120,33,249,42,96,120,33,249,88,7,15,0.467,18,10,25,0.4,96,20,48,446,1,22.3,96,20,48,446,1,22.3,87,397,229,6,2697,6.79,11.78,20,207.5,47,264,453,2780,21,6.14,10.53,213.8,74,92,718,55.23,130,14,242,0,17.29,130,14,242,0,17.29,21,52,27,10,10,47,0.904,8,39,9,12,7,28,0.718,33,550,2588,4.71,31,199.1,25,452,1601,3.54,10,123.2,18,18,136,1.38,17,32,29,0,0,11,0,254,19.5,28,54,52,1,0,18,0,432,33.2,19,73,42,318,94,7.2,60,190,77,0.405,8,58,194,0.299,73,"   385:10","   29:37",27,13,10,23,11,6,17,6,0.46,"SEC",39,30,121.3,95.2,0.942,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,"F4",5,"No",7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69
"5","Baylor University",14,11,3,52,948,5901,6.22,59,421.5,39,1032,5046,4.89,31,32,360.4,105,114,148,21,283,105,114,148,21,283,106,6,15,0.4,94,15,26,0.577,35,37,42,713,1,19.27,35,37,42,713,1,19.27,44,444,277,8,3571,8.04,12.89,24,255.1,49,292,485,3046,15,6.28,10.43,217.6,77,91,778,55.57,38,10,60,0,6,38,10,60,0,6,24,59,28,11,14,53,0.898,68,50,12,13,17,42,0.84,61,504,2330,4.62,35,166.4,49,547,2000,3.66,16,142.9,108,38,234,2.71,19,32,28,0,0,19,0,277,19.8,27,61,57,0,0,16,0,471,33.6,18,74,56,382,102,7.3,45,180,75,0.417,58,90,232,0.388,102,"   396:37","   28:19",11,13,17,30,11,8,19,11,0.79,"B12",34,20,114.6,99.2,0.84,51.2,49.1,19.7,18.6,37.9,29.4,32.3,36.5,51.2,47.5,34.1,34.5,66.6,0.9,"R32",9,"Yes",6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72
"6","Bowling Green State University",12,3,9,120,839,3829,4.56,24,319.1,117,798,5606,7.03,60,62,467.2,51,124,114,20,258,51,124,114,20,258,129,7,32,0.219,48,8,17,0.471,52,32,7,642,0,20.06,52,32,7,642,0,20.06,120,337,189,15,1888,5.6,9.99,9,157.3,64,198,297,2692,24,9.06,13.6,224.3,88,84,710,59.17,54,17,116,0,6.82,54,17,116,0,6.82,127,36,14,6,5,25,0.694,71,51,24,10,9,43,0.843,65,502,1941,3.87,15,161.8,126,501,2914,5.82,36,242.8,9,14,122,1.17,126,62,61,0,0,10,0,463,38.6,128,25,22,0,0,6,1,192,16,98,48,28,280,62,5.2,116,184,61,0.332,105,69,156,0.442,83,"   351:54","   29:19",103,8,7,15,6,15,21,-6,-0.5,"MAC",32,22,107.5,102,0.6466,50.5,50.8,16.6,17.8,30.7,24.8,34.9,31.1,48.8,50,35.8,34.6,71.5,-4.3,NA,NA,"No",9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67
"7","SUNY at Buffalo",13,8,5,82,937,5051,5.39,50,388.5,7,780,3795,4.87,33,35,291.9,5,75,105,19,199,5,75,105,19,199,22,16,25,0.64,28,14,33,0.424,68,37,28,772,0,20.86,68,37,28,772,0,20.86,122,278,150,6,1795,6.46,11.97,14,138.1,22,206,352,2571,18,7.3,12.48,197.8,22,64,580,44.62,104,15,165,0,11,104,15,165,0,11,18,55,31,10,9,50,0.909,5,41,14,6,8,28,0.683,10,659,3256,4.94,36,250.5,4,428,1224,2.86,15,94.2,2,8,59,0.62,26,35,31,0,0,12,0,277,21.3,46,54,50,0,0,11,1,409,31.5,68,62,30,301,77,5.9,25,194,87,0.448,25,60,178,0.337,5,"   443:39","   34:07",19,11,11,22,8,6,14,8,0.62,"MAC",35,32,113.6,95.3,0.8819,53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,74.9,5.5,"R32",6,"No",15039,9649,3087,36,100,13963,3124,6550,4731,708,957,90,97,13.6,15,11177,56
"8","Brigham Young University",13,7,6,28,933,5769,6.18,45,443.8,68,914,5116,5.6,36,40,393.5,73,123,127,17,267,73,123,127,17,267,118,7,19,0.368,49,10,21,0.476,34,46,18,885,0,19.24,34,46,18,885,0,19.24,26,468,296,11,3701,7.91,12.5,20,284.7,65,254,399,2938,22,7.36,11.57,226,59,79,668,51.38,108,16,184,1,11.5,108,16,184,1,11.5,120,60,21,10,13,44,0.733,37,45,12,14,10,36,0.8,68,465,2068,4.45,25,159.1,78,515,2178,4.23,14,167.5,77,29,174,2.23,48,40,36,2,0,17,0,331,25.5,67,46,43,0,0,17,0,370,28.5,117,50,22,208,61,4.7,40,186,79,0.425,77,76,188,0.404,52,"   395:05","   30:23",57,7,15,22,10,11,21,1,0.08,"WCC",32,19,110,102.8,0.6868,52.8,50.7,15.3,17.6,23.7,27,40,35.4,54.7,48.3,33,36.6,72.7,-3.1,NA,NA,"Yes",7365,5402,4615,48,82,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33
"9","University of California at Berkeley",13,8,5,117,841,4271,5.08,35,328.5,65,945,5076,5.37,32,32,390.5,87,99,159,15,273,87,99,159,15,273,115,6,16,0.375,93,16,28,0.571,94,27,24,599,0,22.19,94,27,24,599,0,22.19,99,365,204,9,2561,7.02,12.55,19,197,112,309,484,3434,16,7.1,11.11,264.2,12,62,528,40.62,72,22,177,0,8.05,72,22,177,0,8.05,53,35,14,11,5,30,0.857,68,50,15,12,15,42,0.84,104,476,1710,3.59,16,131.5,27,461,1642,3.56,16,126.3,124,47,277,3.62,33,32,29,1,1,20,0,285,21.9,112,35,33,0,0,11,0,276,21.2,73,63,24,323,75,5.8,93,173,65,0.376,80,79,195,0.405,78,"   381:44","   29:21",46,8,8,16,4,9,13,3,0.23,"P12",31,8,102.9,106.9,0.3925,48.6,56.9,16.5,20.5,23.3,31.4,34.8,36.1,46.5,56.7,35,38.1,68,-13.5,NA,NA,"No",19873,8252,3215,95,100,19532,2061,11648,6246,636,1933,93,97,15.8,10,13919,78
"10","University of North Carolina at Charlotte",13,7,6,56,848,5388,6.35,50,414.5,59,824,4952,6.01,50,56,380.9,46,125,109,18,252,46,125,109,18,252,51,13,23,0.565,129,15,19,0.789,123,23,30,589,2,25.61,123,23,30,589,2,25.61,84,321,195,14,2749,8.56,14.1,24,211.5,14,195,314,2457,23,7.82,12.6,189,30,68,594,45.69,116,19,238,3,12.53,116,19,238,3,12.53,35,43,22,10,6,38,0.884,43,52,21,14,7,42,0.808,31,527,2639,5.01,26,203,97,510,2495,4.89,27,191.9,32,21,121,1.62,103,56,51,2,0,10,0,421,32.4,59,52,42,2,0,10,0,388,29.8,33,67,38,322,86,6.6,49,155,64,0.413,92,68,163,0.417,24,"   415:53","   31:59",90,6,9,15,5,14,19,-4,-0.31,"CUSA",29,8,95,107.7,0.1916,48.1,51.3,22,17.9,22.3,26.4,36.3,32.6,49.2,49.9,31.1,35.5,65.9,-15.4,NA,NA,"No",5803,4441,1730,19,62,10099,3255,7248,3109,600,1900,79,91,16.8,7,6227,62
"11","University of Cincinnati",14,11,3,80,993,5464,5.5,49,390.3,40,987,5060,5.13,32,34,361.4,101,114,127,38,279,101,114,127,38,279,21,11,17,0.647,2,5,19,0.263,60,52,15,1059,1,20.37,60,52,15,1059,1,20.37,107,377,208,11,2552,6.77,12.27,19,182.3,60,233,452,3119,17,6.9,13.39,222.8,122,123,977,69.79,24,18,89,0,4.94,24,18,89,0,4.94,69,65,27,16,11,54,0.831,12,51,11,11,15,37,0.725,25,616,2912,4.73,30,208,44,535,1941,3.63,15,138.6,99,35,234,2.5,24,34,28,1,0,18,0,288,20.6,60,52,51,1,1,16,0,415,29.6,29,77,38,359,96,6.9,31,212,92,0.434,55,81,212,0.382,26,"   445:42","   31:50",31,10,16,26,9,11,20,6,0.43,"Amer",35,28,112.3,93.8,0.8871,49,48.6,16,20.9,37.4,29.3,37.6,30.5,47.6,45.1,34.5,35.5,65,5.8,"R64",7,"No",6855,5553,2408,26,57,11036,2011,8907,4697,556,1851,89,95,10.8,6,13889,54
"12","Clemson University",15,14,1,5,1075,7931,7.38,85,528.7,6,970,4325,4.46,24,24,288.3,12,92,108,18,218,12,92,108,18,218,77,6,12,0.5,33,10,23,0.435,13,25,83,439,0,17.56,13,25,83,439,0,17.56,23,509,326,10,4325,8.5,13.27,40,288.3,4,231,433,2584,14,5.97,11.19,172.3,29,85,684,45.6,66,9,68,0,7.56,66,9,68,0,7.56,40,67,33,18,8,59,0.881,19,33,7,7,11,25,0.758,13,566,3606,6.37,45,240.4,19,537,1741,3.24,10,116.1,11,18,142,1.2,3,24,23,0,0,12,0,203,13.5,4,88,85,2,0,14,0,659,43.9,7,87,64,504,119,7.9,27,181,80,0.442,11,71,230,0.309,61,"   453:49","   30:15",8,11,19,30,5,10,15,15,1,"ACC",34,20,107.2,90.3,0.8773,50.7,47.6,19.7,19.8,27.8,24.5,33.5,30,51.5,44.4,32.8,35,67.4,0.1,NA,NA,"No",8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18,17,7597,73
"13","Colorado State University",12,4,8,34,841,5249,6.24,39,437.4,52,811,4529,5.58,42,47,377.4,31,119,91,28,238,31,119,91,28,238,69,11,21,0.524,118,15,22,0.682,128,18,36,498,1,27.67,128,18,36,498,1,27.67,14,446,280,11,3663,8.21,13.08,21,305.3,7,183,316,2179,19,6.9,11.91,181.6,113,80,785,65.42,30,17,94,0,5.53,30,17,94,0,5.53,110,46,14,12,9,35,0.761,106,43,18,10,10,38,0.884,103,395,1586,4.02,18,132.2,104,495,2350,4.75,23,195.8,81,27,180,2.25,91,47,45,1,0,15,0,374,31.2,71,42,41,1,0,14,0,337,28.1,83,55,26,257,68,5.7,70,169,67,0.396,36,60,168,0.357,63,"   362:47","   30:13",123,7,6,13,13,11,24,-11,-0.92,"MWC",31,12,106.5,107.9,0.462,54.4,53.1,17,16.2,23.9,27.1,31.9,29.5,55.5,53.5,35.2,35,68.5,-13,NA,NA,"No",9478,6312,2194,29,65,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59
"14","Duke University",12,5,7,114,873,3956,4.53,34,329.7,56,852,4555,5.35,40,43,379.6,25,110,101,21,232,25,110,101,21,232,30,20,33,0.606,65,11,21,0.524,56,31,16,629,1,20.29,56,31,16,629,1,20.29,110,378,213,14,2152,5.69,10.1,18,179.3,24,185,353,2388,21,6.76,12.91,199,27,63,544,45.33,96,20,193,0,9.65,96,20,193,0,9.65,20,32,13,6,10,29,0.906,76,45,15,12,11,38,0.844,79,495,1804,3.64,16,150.3,87,499,2167,4.34,19,180.6,86,28,140,2.33,77,43,39,1,0,17,0,350,29.2,94,37,34,1,0,15,0,303,25.3,31,58,44,308,80,6.7,115,193,64,0.332,43,68,183,0.372,89,"   348:18","   29:01",123,8,9,17,14,14,28,-11,-0.92,"ACC",38,32,118.9,89.2,0.9646,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,73.6,11.2,"E8",1,"Yes",13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5,44,27206,97
"15","East Carolina University",12,4,8,46,900,5162,5.74,34,430.2,119,864,5632,6.52,52,53,469.3,98,125,133,20,278,98,125,133,20,278,98,3,7,0.429,89,13,23,0.565,117,16,45,388,0,24.25,117,16,45,388,0,24.25,22,451,270,10,3466,7.69,12.84,22,288.8,108,231,371,3139,24,8.46,13.59,261.6,58,71,615,51.25,102,16,172,0,10.75,102,16,172,0,10.75,72,52,12,12,19,43,0.827,100,47,23,9,9,41,0.872,91,449,1696,3.78,12,141.3,113,493,2493,5.06,28,207.8,22,17,150,1.42,111,53,50,2,0,10,1,404,33.7,78,36,33,0,0,24,0,321,26.8,71,57,26,245,70,5.8,71,178,70,0.393,99,72,170,0.424,75,"   354:48","   29:34",53,7,11,18,7,10,17,1,0.08,"Amer",31,10,98.8,105.2,0.3273,46.1,51,19,19.5,28.2,31,35.6,41.8,47.7,52,28.4,32.9,69.9,-12.3,NA,NA,"No",9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58
"16","Florida International University",13,6,7,91,877,4902,5.59,37,377.1,69,898,5117,5.7,42,43,393.6,95,141,110,26,277,95,141,110,26,277,61,13,24,0.542,101,12,20,0.6,86,28,42,603,1,21.54,86,28,42,603,1,21.54,83,389,223,6,2754,7.08,12.35,14,211.8,17,210,384,2535,16,6.6,12.07,195,82,79,751,57.77,1,9,-4,0,-0.44,1,9,-4,0,-0.44,108,55,20,8,14,42,0.764,116,50,21,11,13,45,0.9,63,488,2148,4.4,23,165.2,106,514,2582,5.02,26,198.6,7,14,84,1.08,63,43,37,1,0,19,0,354,27.2,83,40,37,1,0,21,1,344,26.5,96,50,36,268,68,5.2,89,184,70,0.38,67,70,178,0.393,90,"   376:34","   28:58",46,6,12,18,9,6,15,3,0.23,"CUSA",30,20,101.4,105.1,0.3994,48.9,53.1,17.7,23.4,25.7,34.4,37.9,35.4,52.2,53.6,29.3,34.8,79.1,-7.9,NA,NA,"No",3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66
